Time Stamp ((UTC-08:00) Pacific Time (US & Canada)),Humidity,Temperature
1/1/2018 0:00,0.553,5.095
1/1/2018 0:10,0.563,5.202
1/1/2018 0:20,0.559,5.29
1/1/2018 0:30,0.559,5.334
1/1/2018 0:40,0.562,5.303
1/1/2018 0:50,0.556,5.368
1/1/2018 1:00,0.556,5.419
1/1/2018 1:10,0.559,5.554
1/1/2018 1:20,0.562,5.679
1/1/2018 1:30,0.559,5.774
1/1/2018 1:40,0.556,5.85
1/1/2018 1:50,0.562,5.842
1/1/2018 2:00,0.562,5.716
1/1/2018 2:10,0.562,5.807
1/1/2018 2:20,0.562,5.736
1/1/2018 2:30,0.556,5.724
1/1/2018 2:40,0.559,5.746
1/1/2018 2:50,0.552,5.75
1/1/2018 3:00,0.559,5.771
1/1/2018 3:10,0.559,5.639
1/1/2018 3:20,0.556,5.582
1/1/2018 3:30,0.553,5.502
1/1/2018 3:40,0.556,5.358
1/1/2018 3:50,0.559,5.25
1/1/2018 4:00,0.549,5.122
1/1/2018 4:10,0.549,5.132
1/1/2018 4:20,0.549,5.121
1/1/2018 4:30,0.556,5.056
1/1/2018 4:40,0.556,5.06
1/1/2018 4:50,0.556,5.054
1/1/2018 5:00,0.552,5.084
1/1/2018 5:10,0.556,4.917
1/1/2018 5:20,0.556,4.848
1/1/2018 5:30,0.556,4.661
1/1/2018 5:40,0.559,4.697
1/1/2018 5:50,0.556,4.758
1/1/2018 6:00,0.552,4.727
1/1/2018 6:10,0.559,4.171
1/1/2018 6:20,0.556,4.223
1/1/2018 6:30,0.549,4.575
1/1/2018 6:40,0.549,4.568
1/1/2018 6:50,0.549,4.465
1/1/2018 7:00,0.559,4.469
1/1/2018 7:10,0.552,4.607
1/1/2018 7:20,0.556,4.679
1/1/2018 7:30,0.556,4.756
1/1/2018 7:40,0.552,4.583
1/1/2018 7:50,0.556,4.872
1/1/2018 8:00,0.552,4.617
1/1/2018 8:10,0.559,5.033
1/1/2018 8:20,0.562,5.23
1/1/2018 8:30,0.562,5.283
1/1/2018 8:40,0.566,5.443
1/1/2018 8:50,0.572,5.941
1/1/2018 9:00,0.576,6.103
1/1/2018 9:10,0.579,6.728
1/1/2018 9:20,0.579,6.292
1/1/2018 9:30,0.576,6.772
1/1/2018 9:40,0.585,7.421
1/1/2018 9:50,0.585,7.033
1/1/2018 10:00,0.582,6.753
1/1/2018 10:10,0.582,6.141
1/1/2018 10:20,0.575,6.367
1/1/2018 10:30,0.579,6.789
1/1/2018 10:40,0.575,6.939
1/1/2018 10:50,0.575,6.204
1/1/2018 11:00,0.565,6.065
1/1/2018 11:10,0.572,6.351
1/1/2018 11:20,0.579,7.313
1/1/2018 11:30,0.589,7.339
1/1/2018 11:40,0.589,7.687
1/1/2018 11:50,0.585,7.151
1/1/2018 12:00,0.575,6.248
1/1/2018 12:10,0.585,6.506
1/1/2018 12:20,0.582,6.844
1/1/2018 12:30,0.585,7.417
1/1/2018 12:40,0.582,6.884
1/1/2018 12:50,0.579,6.428
1/1/2018 13:00,0.575,6.058
1/1/2018 13:10,0.575,6.512
1/1/2018 13:20,0.582,6.436
1/1/2018 13:30,0.579,6.48
1/1/2018 13:40,0.582,6.216
1/1/2018 13:50,0.579,6.595
1/1/2018 14:00,0.575,6.686
1/1/2018 14:10,0.582,6.62
1/1/2018 14:20,0.579,6.744
1/1/2018 14:30,0.579,6.728
1/1/2018 14:40,0.575,6.828
1/1/2018 14:50,0.585,6.806
1/1/2018 15:00,0.582,6.808
1/1/2018 15:10,0.579,6.839
1/1/2018 15:20,0.582,6.819
1/1/2018 15:30,0.572,6.658
1/1/2018 15:40,0.579,6.662
1/1/2018 15:50,0.575,6.457
1/1/2018 16:00,0.569,6.337
1/1/2018 16:10,0.569,5.622
1/1/2018 16:20,0.559,5.461
1/1/2018 16:30,0.559,5.226
1/1/2018 16:40,0.552,5.34
1/1/2018 16:50,0.562,5.381
1/1/2018 17:00,0.552,5.357
1/1/2018 17:10,0.552,5.26
1/1/2018 17:20,0.556,5.091
1/1/2018 17:30,0.556,5.115
1/1/2018 17:40,0.552,5.156
1/1/2018 17:50,0.549,5.006
1/1/2018 18:00,0.559,4.967
1/1/2018 18:10,0.556,4.909
